Subject,Start Date,Start Time,End Date,End Time,Description
"Пр_П Лк DL ПЗПІ-23-6,7,8,9,10; №1",02/11/2025,11:15 AM,02/11/2025,12:50 PM,"Пр_П Лк DL ПЗПІ-23-6,7,8,9,10"
"Пр_П Лк DL ПЗПІ-23-6,7,8,9,10; №1",02/18/2025,11:15 AM,02/18/2025,12:50 PM,"Пр_П Лк DL ПЗПІ-23-6,7,8,9,10"
"Пр_П Лк DL ПЗПІ-23-6,7,8,9,10; №1",02/25/2025,11:15 AM,02/25/2025,12:50 PM,"Пр_П Лк DL ПЗПІ-23-6,7,8,9,10"
"Пр_П Лк DL ПЗПІ-23-6,7,8,9,10; №1",03/04/2025,11:15 AM,03/04/2025,12:50 PM,"Пр_П Лк DL ПЗПІ-23-6,7,8,9,10"
"Пр_П Лк DL ПЗПІ-23-6,7,8,9,10; №1",03/11/2025,11:15 AM,03/11/2025,12:50 PM,"Пр_П Лк DL ПЗПІ-23-6,7,8,9,10"
"Пр_П Лк DL ПЗПІ-23-6,7,8,9,10; №1",03/18/2025,11:15 AM,03/18/2025,12:50 PM,"Пр_П Лк DL ПЗПІ-23-6,7,8,9,10"
"Пр_П Лк DL ПЗПІ-23-6,7,8,9,10; №1",03/25/2025,11:15 AM,03/25/2025,12:50 PM,"Пр_П Лк DL ПЗПІ-23-6,7,8,9,10"
"Пр_П Лк DL ПЗПІ-23-6,7,8,9,10; №1",04/01/2025,11:15 AM,04/01/2025,12:50 PM,"Пр_П Лк DL ПЗПІ-23-6,7,8,9,10"
"ОПJ Лк DL ПЗПІ-23-6,7,8,9,10; №1",04/08/2025,11:15 AM,04/08/2025,12:50 PM,"ОПJ Лк DL ПЗПІ-23-6,7,8,9,10"
"ОПJ Лк DL ПЗПІ-23-6,7,8,9,10; №1",04/15/2025,11:15 AM,04/15/2025,12:50 PM,"ОПJ Лк DL ПЗПІ-23-6,7,8,9,10"
"ОПJ Лк DL ПЗПІ-23-6,7,8,9,10; №1",04/22/2025,11:15 AM,04/22/2025,12:50 PM,"ОПJ Лк DL ПЗПІ-23-6,7,8,9,10"
"ОПJ Лк DL ПЗПІ-23-6,7,8,9,10; №1",04/29/2025,11:15 AM,04/29/2025,12:50 PM,"ОПJ Лк DL ПЗПІ-23-6,7,8,9,10"
"Філ Лк DL ПЗПІ-23-6,7,8,9,10; №2",02/11/2025,01:10 PM,02/11/2025,02:45 PM,"Філ Лк DL ПЗПІ-23-6,7,8,9,10"
"Філ Лк DL ПЗПІ-23-6,7,8,9,10; №2",02/18/2025,01:10 PM,02/18/2025,02:45 PM,"Філ Лк DL ПЗПІ-23-6,7,8,9,10"
"Філ Лк DL ПЗПІ-23-6,7,8,9,10; №2",02/25/2025,01:10 PM,02/25/2025,02:45 PM,"Філ Лк DL ПЗПІ-23-6,7,8,9,10"
"Філ Лк DL ПЗПІ-23-6,7,8,9,10; №2",03/04/2025,01:10 PM,03/04/2025,02:45 PM,"Філ Лк DL ПЗПІ-23-6,7,8,9,10"
"Філ Лк DL ПЗПІ-23-6,7,8,9,10; №2",03/11/2025,01:10 PM,03/11/2025,02:45 PM,"Філ Лк DL ПЗПІ-23-6,7,8,9,10"
"Філ Лк DL ПЗПІ-23-6,7,8,9,10; №2",03/18/2025,01:10 PM,03/18/2025,02:45 PM,"Філ Лк DL ПЗПІ-23-6,7,8,9,10"
"Філ Лк DL ПЗПІ-23-6,7,8,9,10; №2",03/25/2025,01:10 PM,03/25/2025,02:45 PM,"Філ Лк DL ПЗПІ-23-6,7,8,9,10"
"Філ Лк DL ПЗПІ-23-6,7,8,9,10; №2",04/01/2025,01:10 PM,04/01/2025,02:45 PM,"Філ Лк DL ПЗПІ-23-6,7,8,9,10"
"Філ Лк DL ПЗПІ-23-6,7,8,9,10; №2",04/08/2025,01:10 PM,04/08/2025,02:45 PM,"Філ Лк DL ПЗПІ-23-6,7,8,9,10"
"Філ Лк DL ПЗПІ-23-6,7,8,9,10; №2",04/15/2025,01:10 PM,04/15/2025,02:45 PM,"Філ Лк DL ПЗПІ-23-6,7,8,9,10"
"Філ Лк DL ПЗПІ-23-6,7,8,9,10; №2",04/22/2025,01:10 PM,04/22/2025,02:45 PM,"Філ Лк DL ПЗПІ-23-6,7,8,9,10"
"Філ Лк DL ПЗПІ-23-6,7,8,9,10; №2",04/29/2025,01:10 PM,04/29/2025,02:45 PM,"Філ Лк DL ПЗПІ-23-6,7,8,9,10"
"ОС Лк DL ПЗПІ-23-6,7,8,9,10; №3",02/18/2025,02:55 PM,02/18/2025,04:30 PM,"ОС Лк DL ПЗПІ-23-6,7,8,9,10"
"ОС Пз DL ПЗПІ-23-10; №3",02/25/2025,02:55 PM,02/25/2025,04:30 PM,"ОС Пз DL ПЗПІ-23-10"
"ОС Пз DL ПЗПІ-23-10; №3",03/04/2025,02:55 PM,03/04/2025,04:30 PM,"ОС Пз DL ПЗПІ-23-10"
"Пр_П Пз DL ПЗПІ-23-10; №3",03/11/2025,02:55 PM,03/11/2025,04:30 PM,"Пр_П Пз DL ПЗПІ-23-10"
"ОС Пз DL ПЗПІ-23-10; №3",03/18/2025,02:55 PM,03/18/2025,04:30 PM,"ОС Пз DL ПЗПІ-23-10"
"Пр_П Лб DL ПЗПІ-23-10; №3",03/25/2025,02:55 PM,03/25/2025,04:30 PM,"Пр_П Лб DL ПЗПІ-23-10"
"ОС Пз DL ПЗПІ-23-10; №3",04/01/2025,02:55 PM,04/01/2025,04:30 PM,"ОС Пз DL ПЗПІ-23-10"
"СмП Лб DL ПЗПІ-23-10; №3",04/08/2025,02:55 PM,04/08/2025,04:30 PM,"СмП Лб DL ПЗПІ-23-10"
"ОС Пз DL ПЗПІ-23-10; №3",04/15/2025,02:55 PM,04/15/2025,04:30 PM,"ОС Пз DL ПЗПІ-23-10"
"Пр_П Лб DL ПЗПІ-23-10; №3",04/22/2025,02:55 PM,04/22/2025,04:30 PM,"Пр_П Лб DL ПЗПІ-23-10"
"СмП Лб DL ПЗПІ-23-10; №3",04/29/2025,02:55 PM,04/29/2025,04:30 PM,"СмП Лб DL ПЗПІ-23-10"
"ОС Пз DL ПЗПІ-23-10; №1",05/06/2025,02:55 PM,05/06/2025,04:30 PM,"ОС Пз DL ПЗПІ-23-10"
"Пр_П Лб DL ПЗПІ-23-10; №1",05/13/2025,02:55 PM,05/13/2025,04:30 PM,"Пр_П Лб DL ПЗПІ-23-10"
"СмП Лб DL ПЗПІ-23-10; №1",05/20/2025,02:55 PM,05/20/2025,04:30 PM,"СмП Лб DL ПЗПІ-23-10"
"СмП Лб DL ПЗПІ-23-10; №1",05/27/2025,02:55 PM,05/27/2025,04:30 PM,"СмП Лб DL ПЗПІ-23-10"
"Пр_П Лб DL ПЗПІ-23-10; №1",06/03/2025,02:55 PM,06/03/2025,04:30 PM,"Пр_П Лб DL ПЗПІ-23-10"
"Пр_П Пз DL ПЗПІ-23-10; №4",03/11/2025,04:40 PM,03/11/2025,06:15 PM,"Пр_П Пз DL ПЗПІ-23-10"
"Пр_П Лб DL ПЗПІ-23-10; №4",03/25/2025,04:40 PM,03/25/2025,06:15 PM,"Пр_П Лб DL ПЗПІ-23-10"
"СмП Лб DL ПЗПІ-23-10; №4",04/08/2025,04:40 PM,04/08/2025,06:15 PM,"СмП Лб DL ПЗПІ-23-10"
"Пр_П Лб DL ПЗПІ-23-10; №4",04/22/2025,04:40 PM,04/22/2025,06:15 PM,"Пр_П Лб DL ПЗПІ-23-10"
"СмП Лб DL ПЗПІ-23-10; №4",04/29/2025,04:40 PM,04/29/2025,06:15 PM,"СмП Лб DL ПЗПІ-23-10"
"Пр_П Лб DL ПЗПІ-23-10; №2",05/13/2025,04:40 PM,05/13/2025,06:15 PM,"Пр_П Лб DL ПЗПІ-23-10"
"СмП Лб DL ПЗПІ-23-10; №2",05/20/2025,04:40 PM,05/20/2025,06:15 PM,"СмП Лб DL ПЗПІ-23-10"
"СмП Лб DL ПЗПІ-23-10; №2",05/27/2025,04:40 PM,05/27/2025,06:15 PM,"СмП Лб DL ПЗПІ-23-10"
"Пр_П Лб DL ПЗПІ-23-10; №2",06/03/2025,04:40 PM,06/03/2025,06:15 PM,"Пр_П Лб DL ПЗПІ-23-10"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №1",04/16/2025,07:45 AM,04/16/2025,09:20 AM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №2",04/16/2025,09:30 AM,04/16/2025,11:05 AM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
"ОС Лк DL ПЗПІ-23-6,7,8,9,10; №1",02/19/2025,11:15 AM,02/19/2025,12:50 PM,"ОС Лк DL ПЗПІ-23-6,7,8,9,10"
"СмП Лк DL ПЗПІ-23-6,7,8,9,10; №1",02/26/2025,11:15 AM,02/26/2025,12:50 PM,"СмП Лк DL ПЗПІ-23-6,7,8,9,10"
"ОС Лк DL ПЗПІ-23-6,7,8,9,10; №1",03/05/2025,11:15 AM,03/05/2025,12:50 PM,"ОС Лк DL ПЗПІ-23-6,7,8,9,10"
"СмП Лк DL ПЗПІ-23-6,7,8,9,10; №1",03/12/2025,11:15 AM,03/12/2025,12:50 PM,"СмП Лк DL ПЗПІ-23-6,7,8,9,10"
"СмП Лк DL ПЗПІ-23-6,7,8,9,10; №1",03/19/2025,11:15 AM,03/19/2025,12:50 PM,"СмП Лк DL ПЗПІ-23-6,7,8,9,10"
"ОС Лк DL ПЗПІ-23-6,7,8,9,10; №1",03/26/2025,11:15 AM,03/26/2025,12:50 PM,"ОС Лк DL ПЗПІ-23-6,7,8,9,10"
"СмП Лк DL ПЗПІ-23-6,7,8,9,10; №1",04/02/2025,11:15 AM,04/02/2025,12:50 PM,"СмП Лк DL ПЗПІ-23-6,7,8,9,10"
"СмП Лк DL ПЗПІ-23-6,7,8,9,10; №1",04/09/2025,11:15 AM,04/09/2025,12:50 PM,"СмП Лк DL ПЗПІ-23-6,7,8,9,10"
"ОС Лк DL ПЗПІ-23-6,7,8,9,10; №3",04/16/2025,11:15 AM,04/16/2025,12:50 PM,"ОС Лк DL ПЗПІ-23-6,7,8,9,10"
"СмП Лк DL ПЗПІ-23-6,7,8,9,10; №1",04/23/2025,11:15 AM,04/23/2025,12:50 PM,"СмП Лк DL ПЗПІ-23-6,7,8,9,10"
"СмП Лк DL ПЗПІ-23-6,7,8,9,10; №1",04/30/2025,11:15 AM,04/30/2025,12:50 PM,"СмП Лк DL ПЗПІ-23-6,7,8,9,10"
"СмП Лк DL ПЗПІ-23-6,7,8,9,10; №1",05/07/2025,11:15 AM,05/07/2025,12:50 PM,"СмП Лк DL ПЗПІ-23-6,7,8,9,10"
"ОС Лк DL ПЗПІ-23-6,7,8,9,10; №1",05/14/2025,11:15 AM,05/14/2025,12:50 PM,"ОС Лк DL ПЗПІ-23-6,7,8,9,10"
"СмП Лк DL ПЗПІ-23-6,7,8,9,10; №1",02/12/2025,01:10 PM,02/12/2025,02:45 PM,"СмП Лк DL ПЗПІ-23-6,7,8,9,10"
"ОС Лк DL ПЗПІ-23-6,7,8,9,10; №2",02/19/2025,01:10 PM,02/19/2025,02:45 PM,"ОС Лк DL ПЗПІ-23-6,7,8,9,10"
"ОС Лк DL ПЗПІ-23-6,7,8,9,10; №2",02/26/2025,01:10 PM,02/26/2025,02:45 PM,"ОС Лк DL ПЗПІ-23-6,7,8,9,10"
"ОС Лк DL ПЗПІ-23-6,7,8,9,10; №2",03/05/2025,01:10 PM,03/05/2025,02:45 PM,"ОС Лк DL ПЗПІ-23-6,7,8,9,10"
"ОС Лк DL ПЗПІ-23-6,7,8,9,10; №2",03/12/2025,01:10 PM,03/12/2025,02:45 PM,"ОС Лк DL ПЗПІ-23-6,7,8,9,10"
"ОС Лк DL ПЗПІ-23-6,7,8,9,10; №2",03/19/2025,01:10 PM,03/19/2025,02:45 PM,"ОС Лк DL ПЗПІ-23-6,7,8,9,10"
"ОС Лк DL ПЗПІ-23-6,7,8,9,10; №2",03/26/2025,01:10 PM,03/26/2025,02:45 PM,"ОС Лк DL ПЗПІ-23-6,7,8,9,10"
"ОС Лк DL ПЗПІ-23-6,7,8,9,10; №2",04/02/2025,01:10 PM,04/02/2025,02:45 PM,"ОС Лк DL ПЗПІ-23-6,7,8,9,10"
"ОС Лк DL ПЗПІ-23-6,7,8,9,10; №2",04/09/2025,01:10 PM,04/09/2025,02:45 PM,"ОС Лк DL ПЗПІ-23-6,7,8,9,10"
"ОС Лк DL ПЗПІ-23-6,7,8,9,10; №4",04/16/2025,01:10 PM,04/16/2025,02:45 PM,"ОС Лк DL ПЗПІ-23-6,7,8,9,10"
"ОС Лк DL ПЗПІ-23-6,7,8,9,10; №2",04/23/2025,01:10 PM,04/23/2025,02:45 PM,"ОС Лк DL ПЗПІ-23-6,7,8,9,10"
"ОС Лк DL ПЗПІ-23-6,7,8,9,10; №2",04/30/2025,01:10 PM,04/30/2025,02:45 PM,"ОС Лк DL ПЗПІ-23-6,7,8,9,10"
"ОС Лк DL ПЗПІ-23-6,7,8,9,10; №2",05/07/2025,01:10 PM,05/07/2025,02:45 PM,"ОС Лк DL ПЗПІ-23-6,7,8,9,10"
"ОС Лк DL ПЗПІ-23-6,7,8,9,10; №2",05/14/2025,01:10 PM,05/14/2025,02:45 PM,"ОС Лк DL ПЗПІ-23-6,7,8,9,10"
"ОПJ Лк DL ПЗПІ-23-6,7,8,9,10; №2",02/12/2025,02:55 PM,02/12/2025,04:30 PM,"ОПJ Лк DL ПЗПІ-23-6,7,8,9,10"
"ОПJ Лк DL ПЗПІ-23-6,7,8,9,10; №3",02/19/2025,02:55 PM,02/19/2025,04:30 PM,"ОПJ Лк DL ПЗПІ-23-6,7,8,9,10"
"ОПJ Лк DL ПЗПІ-23-6,7,8,9,10; №3",02/26/2025,02:55 PM,02/26/2025,04:30 PM,"ОПJ Лк DL ПЗПІ-23-6,7,8,9,10"
"ОПJ Лк DL ПЗПІ-23-6,7,8,9,10; №3",03/05/2025,02:55 PM,03/05/2025,04:30 PM,"ОПJ Лк DL ПЗПІ-23-6,7,8,9,10"
"ОПJ Лк DL ПЗПІ-23-6,7,8,9,10; №3",03/12/2025,02:55 PM,03/12/2025,04:30 PM,"ОПJ Лк DL ПЗПІ-23-6,7,8,9,10"
"ОПJ Лк DL ПЗПІ-23-6,7,8,9,10; №3",03/19/2025,02:55 PM,03/19/2025,04:30 PM,"ОПJ Лк DL ПЗПІ-23-6,7,8,9,10"
"ОПJ Лк DL ПЗПІ-23-6,7,8,9,10; №3",03/26/2025,02:55 PM,03/26/2025,04:30 PM,"ОПJ Лк DL ПЗПІ-23-6,7,8,9,10"
"ОПJ Лк DL ПЗПІ-23-6,7,8,9,10; №3",04/02/2025,02:55 PM,04/02/2025,04:30 PM,"ОПJ Лк DL ПЗПІ-23-6,7,8,9,10"
"Філ Пз DL ПЗПІ-23-10; №3",04/23/2025,02:55 PM,04/23/2025,04:30 PM,"Філ Пз DL ПЗПІ-23-10"
"Філ Пз DL ПЗПІ-23-10; №1",02/20/2025,07:45 AM,02/20/2025,09:20 AM,"Філ Пз DL ПЗПІ-23-10"
"Філ Пз DL ПЗПІ-23-10; №1",03/06/2025,07:45 AM,03/06/2025,09:20 AM,"Філ Пз DL ПЗПІ-23-10"
"*ВІА Пз DL *ВІА(ПЗПІ-23-)-5; №1",03/13/2025,07:45 AM,03/13/2025,09:20 AM,"*ВІА Пз DL *ВІА(ПЗПІ-23-)-5"
"Філ Пз DL ПЗПІ-23-10; №1",03/20/2025,07:45 AM,03/20/2025,09:20 AM,"Філ Пз DL ПЗПІ-23-10"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-5; №1",03/27/2025,07:45 AM,03/27/2025,09:20 AM,"*ВІА Лб DL *ВІА(ПЗПІ-23-)-5"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-5; №1",04/10/2025,07:45 AM,04/10/2025,09:20 AM,"*ВІА Лб DL *ВІА(ПЗПІ-23-)-5"
"Філ Пз DL ПЗПІ-23-10; №1",04/17/2025,07:45 AM,04/17/2025,09:20 AM,"Філ Пз DL ПЗПІ-23-10"
"*ВІА Пз DL *ВІА(ПЗПІ-23-)-5; №1",04/24/2025,07:45 AM,04/24/2025,09:20 AM,"*ВІА Пз DL *ВІА(ПЗПІ-23-)-5"
"Філ Пз DL ПЗПІ-23-10; №1",05/01/2025,07:45 AM,05/01/2025,09:20 AM,"Філ Пз DL ПЗПІ-23-10"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-5; №1",05/08/2025,07:45 AM,05/08/2025,09:20 AM,"*ВІА Лб DL *ВІА(ПЗПІ-23-)-5"
"Філ Пз DL ПЗПІ-23-10; №1",05/15/2025,07:45 AM,05/15/2025,09:20 AM,"Філ Пз DL ПЗПІ-23-10"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-5; №1",05/22/2025,07:45 AM,05/22/2025,09:20 AM,"*ВІА Лб DL *ВІА(ПЗПІ-23-)-5"
"Філ Пз DL ПЗПІ-23-10; №1",05/29/2025,07:45 AM,05/29/2025,09:20 AM,"Філ Пз DL ПЗПІ-23-10"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-5; №1",06/05/2025,07:45 AM,06/05/2025,09:20 AM,"*ВІА Лб DL *ВІА(ПЗПІ-23-)-5"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №2",02/20/2025,09:30 AM,02/20/2025,11:05 AM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
"СмП Пз DL ПЗПІ-23-10; №1",02/27/2025,09:30 AM,02/27/2025,11:05 AM,"СмП Пз DL ПЗПІ-23-10"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №2",03/06/2025,09:30 AM,03/06/2025,11:05 AM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
"*ВІА Пз DL *ВІА(ПЗПІ-23-)-5; №2",03/13/2025,09:30 AM,03/13/2025,11:05 AM,"*ВІА Пз DL *ВІА(ПЗПІ-23-)-5"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №2",03/20/2025,09:30 AM,03/20/2025,11:05 AM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-5; №2",03/27/2025,09:30 AM,03/27/2025,11:05 AM,"*ВІА Лб DL *ВІА(ПЗПІ-23-)-5"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-5; №2",04/10/2025,09:30 AM,04/10/2025,11:05 AM,"*ВІА Лб DL *ВІА(ПЗПІ-23-)-5"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №2",04/17/2025,09:30 AM,04/17/2025,11:05 AM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
"*ВІА Пз DL *ВІА(ПЗПІ-23-)-5; №2",04/24/2025,09:30 AM,04/24/2025,11:05 AM,"*ВІА Пз DL *ВІА(ПЗПІ-23-)-5"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №2",05/01/2025,09:30 AM,05/01/2025,11:05 AM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-5; №2",05/08/2025,09:30 AM,05/08/2025,11:05 AM,"*ВІА Лб DL *ВІА(ПЗПІ-23-)-5"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №2",05/15/2025,09:30 AM,05/15/2025,11:05 AM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-5; №2",05/22/2025,09:30 AM,05/22/2025,11:05 AM,"*ВІА Лб DL *ВІА(ПЗПІ-23-)-5"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №2",05/29/2025,09:30 AM,05/29/2025,11:05 AM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-5; №2",06/05/2025,09:30 AM,06/05/2025,11:05 AM,"*ВІА Лб DL *ВІА(ПЗПІ-23-)-5"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №1",02/13/2025,11:15 AM,02/13/2025,12:50 PM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №3",02/20/2025,11:15 AM,02/20/2025,12:50 PM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №2",02/27/2025,11:15 AM,02/27/2025,12:50 PM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №3",03/06/2025,11:15 AM,03/06/2025,12:50 PM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №3",03/13/2025,11:15 AM,03/13/2025,12:50 PM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №3",03/20/2025,11:15 AM,03/20/2025,12:50 PM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №3",03/27/2025,11:15 AM,03/27/2025,12:50 PM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
